N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE
59,삼성엔지니어링,"24,000",100,+0.42%,"5,000","47,040","196,000",40.41,"893,126",11.04,20.67,
60,삼성중공업,"5,290",100,+1.93%,"1,000","46,552","880,000",15.55,"3,798,359",-6.99,-36.89,
61,카카오페이,"33,950",650,-1.88%,500,"45,046","132,682",42.92,"366,343",-171.46,-2.45,
62,한국타이어앤테크놀로지,"36,350","1,200",+3.41%,500,"45,029","123,875",36.02,"254,161",6.60,7.69,
63,LG디스플레이,"12,450",600,-4.60%,"5,000","44,548","357,816",19.51,"2,138,652",21.17,9.68,
64,맥쿼리인프라,"11,000",300,+2.80%,0,"44,533","404,846",13.77,"1,005,338",N/A,N/A,
65,SK바이오팜,"56,700",300,-0.53%,500,"44,404","78,313",6.26,"83,889",-57.10,15.75,
66,한국항공우주,"45,200",650,+1.46%,"5,000","44,059","97,475",24.57,"749,157",51.95,5.19,
67,유한양행,"59,800",100,+0.17%,"1,000","43,792","73,231",20.00,"137,912",45.48,5.45,
68,GS,"46,400",750,+1.64%,"5,000","43,113","92,915",25.04,"151,484",1.99,15.55,
69,한온시스템,"7,730",30,+0.39%,100,"41,263","533,800",16.53,"639,527",22.09,13.83,
70,코웨이,"55,800",600,+1.09%,500,"41,180","73,800",61.58,"109,369",8.38,27.41,
71,오리온,"101,000",0,0.00%,500,"39,931","39,536",35.82,"45,975",13.67,12.75,
72,DB손해보험,"55,900","1,400",+2.57%,500,"39,577","70,800",42.63,"166,653",4.12,13.38,
73,SKC,"104,000","1,000",+0.97%,"5,000","39,383","37,868",15.91,"341,889",13.42,11.60,
74,미래에셋증권,"6,400",40,+0.63%,"5,000","39,380","615,316",12.62,"517,622",5.19,11.66,
75,현대건설,"35,100",350,-0.99%,"5,000","39,086","111,356",24.20,"640,232",6.92,5.89,
76,금호석유,"132,000","1,000",-0.75%,"5,000","38,695","29,314",21.21,"48,583",2.81,47.76,
77,현대제철,"28,750","1,700",-5.58%,"5,000","38,366","133,446",21.38,"1,220,437",1.98,8.54,
78,넷마블,"43,800",650,-1.46%,100,"37,648","85,954",23.33,"174,405",-161.62,4.29,
79,SK아이이테크놀로지,"51,900",900,+1.76%,"1,000","37,003","71,298",9.05,"782,175",286.74,5.57,
80,현대미포조선,"91,400","1,900",-2.04%,"5,000","36,507","39,942",19.62,"402,464",-86.64,-7.11,
81,메리츠화재,"31,650","1,200",+3.94%,500,"36,012","113,783",11.24,"131,549",4.70,26.12,
82,삼성카드,"30,950",150,+0.49%,"5,000","35,858","115,859",6.54,"84,592",6.13,7.53,
83,롯데지주,"32,950",450,+1.38%,200,"34,568","104,909",9.88,"144,731",10.36,4.61,
84,두산밥캣,"33,250","1,400",+4.40%,500,"33,333","100,249",26.17,"311,206",7.96,9.19,
85,한국가스공사,"35,250",700,+2.03%,"5,000","32,540","92,313",10.76,"233,395",2.37,11.63,
86,현대오토에버,"118,500","4,000",+3.49%,500,"32,497","27,424",2.09,"81,222",41.96,7.26,
87,한화에어로스페이스,"63,800","1,100",+1.75%,"5,000","32,302","50,630",22.33,"1,150,817",20.91,9.21,
88,BGF리테일,"184,000",0,0.00%,"1,000","31,802","17,284",32.26,"18,748",18.89,19.61,
89,한미약품,"253,000","4,500",+1.81%,"2,500","31,164","12,318",15.27,"24,985",39.54,8.75,
90,에스디바이오센서,"29,700",850,+2.95%,500,"30,672","103,271",14.55,"325,783",2.63,72.47,
91,KODEX KOFR금리액티브(합성),"101,130",20,+0.02%,0,"30,590","30,248",2.05,"63,560",N/A,N/A,
92,NH투자증권,"9,070",20,+0.22%,"5,000","30,082","331,666",12.83,"510,934",4.67,14.77,
93,TIGER 차이나전기차SOLACTIVE,"12,790",800,-5.89%,0,"29,837","233,280",1.41,"8,285,649",N/A,N/A,
94,현대해상,"33,100","1,000",+3.12%,500,"29,591","89,400",34.23,"244,542",5.41,8.82,
95,현대차2우B,"79,300",700,+0.89%,"5,000","28,933","36,485",60.15,"42,365",3.52,N/A,
96,쌍용C&E,"5,710",10,+0.18%,100,"28,770","503,860",2.91,"280,275",24.30,11.12,
97,삼성증권,"32,000",150,+0.47%,"5,000","28,576","89,300",26.92,"362,153",4.08,16.94,
98,메리츠금융지주,"22,100",50,-0.23%,500,"28,193","127,572",6.40,"200,583",2.97,22.33,
99,제일기획,"24,500",150,+0.62%,200,"28,185","115,041",32.54,"207,725",15.35,15.58,
100,호텔신라,"71,300",200,+0.28%,"5,000","27,984","39,248",16.98,"117,440",85.49,4.51,
101,한국금융지주,"50,000",400,+0.81%,"5,000","27,863","55,726",35.10,"202,505",2.10,27.12,
102,일진머티리얼즈,"59,400","1,100",+1.89%,500,"27,390","46,111",9.80,"593,028",46.52,7.85,
103,한진칼,"40,450",100,+0.25%,"2,500","27,005","66,762",16.08,"93,538",3.40,1.11,
104,GS리테일,"25,600","1,450",+6.00%,"1,000","26,808","104,718",7.23,"271,823",3.32,25.58,
105,현대로템,"23,850",50,-0.21%,"5,000","26,030","109,142",7.42,"1,429,256",31.14,5.01,
106,롯데쇼핑,"91,400","1,700",+1.90%,"5,000","25,856","28,289",12.92,"48,490",-22.50,-2.94,
107,씨에스윈드,"59,400",600,-1.00%,500,"25,050","42,171",10.25,"156,703",144.17,10.13,
108,포스코인터내셔널,"20,300",50,+0.25%,"5,000","25,045","123,375",8.96,"295,396",4.71,10.86,
109,OCI,"102,500",500,+0.49%,"5,000","24,446","23,849",10.23,"493,591",3.27,23.93,
110,이마트,"85,500",800,+0.94%,"5,000","23,834","27,876",27.84,"71,271",1.36,16.25,
